date,site_id,region,behavior,cement_type,planned_pour_tonnes,consumed_tonnes,opening_inventory_tonnes,deliveries_tonnes,closing_inventory_tonnes,rain_mm,avg_temp_c,silo_capacity
2022-01-01,SITE_001,North,aggressive,CEM_II,43.18,34.54,52.56,45.83,63.85,3.4,-3.1,448
2022-01-02,SITE_001,North,aggressive,CEM_I,45.26,45.26,63.85,19.97,38.56,3.23,14.28,448
2022-01-03,SITE_001,North,aggressive,CEM_III,38.69,38.69,38.56,47.19,47.06,2.64,6.4,448
2022-01-04,SITE_001,North,aggressive,CEM_I,33.16,33.16,47.06,18.74,32.64,8.25,14.23,448
2022-01-05,SITE_001,North,aggressive,CEM_III,56.88,47.04,32.64,14.4,0.0,2.69,8.97,448
2022-01-06,SITE_001,North,aggressive,CEM_II,30.02,22.19,0.0,22.19,0.0,1.29,14.61,448
2022-01-07,SITE_001,North,aggressive,CEM_I,33.6,33.6,0.0,47.72,14.12,0.9,4.48,448
2022-01-08,SITE_001,North,aggressive,CEM_I,42.12,34.28,14.12,20.16,0.0,1.95,25.92,448
2022-01-09,SITE_001,North,aggressive,CEM_I,0.0,0.0,0.0,34.38,34.38,1.42,16.81,448
2022-01-10,SITE_001,North,aggressive,CEM_II,30.99,30.99,34.38,35.37,38.76,3.49,16.57,448
2022-01-11,SITE_001,North,aggressive,CEM_II,37.26,29.81,38.76,40.46,49.41,5.71,-0.78,448
2022-01-12,SITE_001,North,aggressive,CEM_III,54.09,54.09,49.41,49.34,44.66,1.36,19.28,448
2022-01-13,SITE_001,North,aggressive,CEM_I,39.62,39.62,44.66,11.63,16.67,2.54,14.61,448
2022-01-14,SITE_001,North,aggressive,CEM_III,36.61,36.61,16.67,42.38,22.44,4.47,14.94,448
2022-01-15,SITE_001,North,aggressive,CEM_I,50.27,40.8,22.44,18.36,0.0,2.14,14.53,448
2022-01-16,SITE_001,North,aggressive,CEM_II,37.74,37.74,0.0,42.69,4.95,3.9,0.21,448
2022-01-17,SITE_001,North,aggressive,CEM_II,56.92,40.27,4.95,35.32,0.0,4.05,4.68,448
2022-01-18,SITE_001,North,aggressive,CEM_III,51.01,44.25,0.0,44.25,0.0,2.07,13.81,448
2022-01-19,SITE_001,North,aggressive,CEM_II,58.2,21.36,0.0,21.36,0.0,2.59,17.32,448
2022-01-20,SITE_001,North,aggressive,CEM_II,50.76,18.97,0.0,18.97,0.0,1.82,22.16,448
2022-01-21,SITE_001,North,aggressive,CEM_III,51.63,31.7,0.0,31.7,0.0,6.23,9.62,448
2022-01-22,SITE_001,North,aggressive,CEM_II,37.96,37.96,0.0,48.92,10.96,3.55,7.88,448
2022-01-23,SITE_001,North,aggressive,CEM_II,40.5,40.5,10.96,36.76,7.22,2.5,15.08,448
2022-01-24,SITE_001,North,aggressive,CEM_I,44.98,44.98,7.22,40.74,2.98,9.98,17.99,448
2022-01-25,SITE_001,North,aggressive,CEM_II,57.45,13.6,2.98,10.62,0.0,0.22,13.96,448
2022-01-26,SITE_001,North,aggressive,CEM_I,46.58,46.58,0.0,49.21,2.63,13.18,15.12,448
2022-01-27,SITE_001,North,aggressive,CEM_I,39.51,34.9,2.63,32.27,0.0,0.39,9.58,448
2022-01-28,SITE_001,North,aggressive,CEM_II,57.9,18.36,0.0,18.36,0.0,13.76,11.5,448
2022-01-29,SITE_001,North,aggressive,CEM_II,56.32,37.88,0.0,37.88,0.0,5.56,8.11,448
2022-01-30,SITE_001,North,aggressive,CEM_III,38.81,38.81,0.0,42.4,3.59,6.06,11.03,448
2022-01-31,SITE_001,North,aggressive,CEM_I,48.84,16.43,3.59,12.84,0.0,10.09,15.06,448
2022-02-01,SITE_001,North,aggressive,CEM_II,56.7,25.02,0.0,25.02,0.0,2.53,19.45,448
2022-02-02,SITE_001,North,aggressive,CEM_I,34.65,34.65,0.0,43.56,8.91,0.49,12.81,448
2022-02-03,SITE_001,North,aggressive,CEM_I,31.12,31.12,8.91,24.41,2.2,9.85,15.79,448
2022-02-04,SITE_001,North,aggressive,CEM_I,43.72,19.98,2.2,17.78,0.0,0.68,23.33,448
2022-02-05,SITE_001,North,aggressive,CEM_III,49.12,49.03,0.0,49.03,0.0,2.65,16.31,448
2022-02-06,SITE_001,North,aggressive,CEM_III,43.01,20.03,0.0,20.03,0.0,3.63,21.05,448
2022-02-07,SITE_001,North,aggressive,CEM_II,55.08,26.36,0.0,26.36,0.0,1.02,12.8,448
2022-02-08,SITE_001,North,aggressive,CEM_II,32.82,32.82,0.0,47.38,14.56,0.95,13.71,448
2022-02-09,SITE_001,North,aggressive,CEM_I,52.14,49.03,14.56,34.47,0.0,5.08,12.95,448
2022-02-10,SITE_001,North,aggressive,CEM_I,33.6,13.67,0.0,13.67,0.0,2.72,12.7,448
2022-02-11,SITE_001,North,aggressive,CEM_II,55.66,28.97,0.0,28.97,0.0,0.49,10.09,448
2022-02-12,SITE_001,North,aggressive,CEM_I,43.94,11.92,0.0,11.92,0.0,0.51,0.41,448
2022-02-13,SITE_001,North,aggressive,CEM_II,0.0,0.0,0.0,47.34,47.34,14.89,11.62,448
2022-02-14,SITE_001,North,aggressive,CEM_III,58.33,58.33,47.34,35.46,24.47,3.48,26.54,448
2022-02-15,SITE_001,North,aggressive,CEM_II,47.2,47.2,24.47,42.45,19.72,8.07,19.06,448
2022-02-16,SITE_001,North,aggressive,CEM_II,36.2,36.2,19.72,18.58,2.1,8.59,22.8,448
2022-02-17,SITE_001,North,aggressive,CEM_I,32.83,14.95,2.1,12.85,0.0,2.37,19.47,448
2022-02-18,SITE_001,North,aggressive,CEM_II,50.9,45.1,0.0,45.1,0.0,1.92,14.41,448
2022-02-19,SITE_001,North,aggressive,CEM_I,59.03,26.94,0.0,26.94,0.0,6.64,21.72,448
2022-02-20,SITE_001,North,aggressive,CEM_II,37.5,37.5,0.0,44.68,7.18,4.2,25.64,448
2022-02-21,SITE_001,North,aggressive,CEM_I,50.4,26.71,7.18,19.53,0.0,4.13,20.33,448
2022-02-22,SITE_001,North,aggressive,CEM_I,39.6,25.57,0.0,25.57,0.0,2.37,16.17,448
2022-02-23,SITE_001,North,aggressive,CEM_I,55.41,38.62,0.0,48.27,9.65,0.05,34.18,448
2022-02-24,SITE_001,North,aggressive,CEM_I,32.75,32.75,9.65,32.15,9.05,5.65,11.3,448
2022-02-25,SITE_001,North,aggressive,CEM_I,53.75,22.7,9.05,13.65,0.0,1.2,1.29,448
2022-02-26,SITE_001,North,aggressive,CEM_I,52.11,38.23,0.0,38.23,0.0,3.41,18.59,448
2022-02-27,SITE_001,North,aggressive,CEM_I,52.85,0.0,0.0,14.04,14.04,17.31,14.93,448
2022-02-28,SITE_001,North,aggressive,CEM_II,56.76,44.57,14.04,30.53,0.0,0.44,16.24,448
2022-03-01,SITE_001,North,aggressive,CEM_I,41.12,41.12,0.0,47.89,6.77,1.33,19.52,448
2022-03-02,SITE_001,North,aggressive,CEM_III,44.45,0.0,6.77,38.2,44.97,21.34,15.27,448
2022-03-03,SITE_001,North,aggressive,CEM_III,33.34,33.34,44.97,10.45,22.08,1.43,25.48,448
2022-03-04,SITE_001,North,aggressive,CEM_I,50.43,48.09,22.08,26.01,0.0,3.16,20.37,448
2022-03-05,SITE_001,North,aggressive,CEM_I,56.06,48.53,0.0,48.53,0.0,3.25,14.7,448
2022-03-06,SITE_001,North,aggressive,CEM_III,57.57,37.82,0.0,37.82,0.0,0.06,19.27,448
2022-03-07,SITE_001,North,aggressive,CEM_III,48.88,28.18,0.0,28.18,0.0,0.39,23.91,448
2022-03-08,SITE_001,North,aggressive,CEM_I,57.46,12.31,0.0,12.31,0.0,4.94,23.43,448
2022-03-09,SITE_001,North,aggressive,CEM_I,38.32,28.55,0.0,28.55,0.0,2.51,20.06,448
2022-03-10,SITE_001,North,aggressive,CEM_I,37.8,11.29,0.0,11.29,0.0,2.18,15.41,448
2022-03-11,SITE_001,North,aggressive,CEM_I,54.41,16.5,0.0,16.5,0.0,1.64,20.03,448
2022-03-12,SITE_001,North,aggressive,CEM_II,32.48,32.06,0.0,32.06,0.0,12.09,23.05,448
2022-03-13,SITE_001,North,aggressive,CEM_I,53.33,49.41,0.0,49.41,0.0,0.9,26.78,448
2022-03-14,SITE_001,North,aggressive,CEM_III,55.26,28.75,0.0,28.75,0.0,2.36,16.38,448
2022-03-15,SITE_001,North,aggressive,CEM_I,30.41,30.41,0.0,37.67,7.26,2.68,26.69,448
2022-03-16,SITE_001,North,aggressive,CEM_III,53.07,51.25,7.26,43.99,0.0,3.82,21.16,448
2022-03-17,SITE_001,North,aggressive,CEM_II,36.15,20.99,0.0,20.99,0.0,1.42,20.58,448
2022-03-18,SITE_001,North,aggressive,CEM_II,40.74,36.86,0.0,36.86,0.0,1.16,21.34,448
2022-03-19,SITE_001,North,aggressive,CEM_II,54.94,42.66,0.0,42.66,0.0,3.67,22.17,448
2022-03-20,SITE_001,North,aggressive,CEM_III,52.65,0.0,0.0,38.16,38.16,17.21,16.92,448
